year,tsi,tsi_unc
1982,1361.8069,0.1852
1983,1361.8102,0.1158
1984,1361.4021,0.0999
1985,1361.2557,0.0681
1986,1361.2617,0.0666
1987,1361.3965,0.0757
1988,1361.7025,0.1294
1989,1362.2012,0.1993
1990,1362.1200,0.1757
1991,1362.0125,0.1986
1992,1361.8813,0.1390
1993,1361.6144,0.1008
1994,1361.3958,0.0795
1995,1361.3113,0.0703
1996,1361.2351,0.0647
1997,1361.3572,0.0728
1998,1361.7025,0.1052
1999,1361.9731,0.1331
2000,1362.2537,0.1650
2001,1362.0814,0.1615
2002,1362.1906,0.1662
2003,1361.6907,0.1190
2004,1361.4706,0.0959
2005,1361.2625,0.0824
2006,1361.2358,0.0703
2007,1361.1686,0.0636
2008,1361.1968,0.0607
2009,1361.1910,0.0605
2010,1361.3396,0.0721
2011,1361.6064,0.1024
2012,1361.7682,0.1096
2013,1361.8130,0.1130
2014,1361.8887,0.1392
2015,1361.9490,0.1091
2016,1361.4648,0.0824
2017,1361.2914,0.0717
2018,1361.2625,0.0643
2019,1361.2555,0.0637
2020,1361.3228,0.0678
2021,1361.4894,0.0794
2022,1361.9811,0.1198
2023,1362.4476,0.1574
2024,1362.5648,0.1905
2025,1362.4159,0.1605
