City,Station,NBM_High,GEFS_TMAX_Mean,NDFD_Tmax,ECMWF_Tmax,ECMWF_OM_Tmax,HRRR_Tmax,UKMO_Tmax_Mean,UKMO_Det_Tmax,NBM_Low,GEFS_TMIN_Mean,NDFD_Tmin,ECMWF_Tmin,ECMWF_OM_Tmin,HRRR_Tmin,UKMO_Tmin_Mean,UKMO_Det_Tmin
Philadelphia,KPHL,3.295017884191656,2.666324382794733,2.7774602993176543,3.4161381705077454,3.119409284738744,3.3258726030063994,2.810947984475802,2.0525245778935592,2.7774602993176543,4.243229901855425,2.5773740789526736,4.555608787919726,2.808660077077936,2.113054660911543,2.5577612979210693,2.915598443838637
Phoenix,KPHX,1.9578900207451218,2.078861868106361,1.8257418583505538,3.1336879231984787,2.751666161922021,2.5405051991024674,2.815433655170492,2.3947860029656103,2.9640705601780613,3.149376355498249,3.1847852585154217,2.7485060877294263,3.2222441159628388,5.4561891462814955,2.709111609787555,3.226342466987302
Pittsburgh,KPIT,2.4784787961282104,5.591894644419343,2.7386127875258306,3.9307396614014376,3.158774626790766,2.592847304192274,2.873773030107186,2.7007935341831875,1.4142135623730951,1.8866069315800018,1.2817398889233114,2.5021419395618403,1.2991755627539874,2.0014280615885958,1.9022543017618414,2.5332080169506117
Portland,KPDX,4.166190448976482,3.928558441536977,4.698023900687242,4.127001678839354,3.4704878207948973,3.386527931166586,4.152021882683871,3.4628642149857067,1.4638501094227998,5.757541638085279,1.7525491637693282,1.9683205313885526,1.7206726259559897,1.6146649364939023,1.8417770921430359,4.113566405374853
Raleigh,KRDU,3.4330328116279762,4.067027696698694,2.5071326821120348,3.0209979429699323,3.4463230923903296,1.801784829392392,2.3493160098815404,2.458367634950359,1.8708286933869707,1.805547008526778,2.0,1.822870577648654,1.8400310556385426,1.3664343588855112,2.754995462791184,2.624744885562349
Sacramento,KSMF,1.3363062095621219,6.515256819847659,1.647508942095828,5.601084078742511,2.556783693851097,2.4025284300384167,1.6252472339396764,3.6110940170535564,2.449489742783178,2.1802686597232532,2.591193878173865,3.4890645492125008,4.209258502736218,1.2688577540449535,3.812385829672243,1.4240284908867333
Salt Lake City,KSLC,2.2013981571160284,5.035107515466545,,4.502990459341777,2.489516480703091,1.3867504905630723,3.1181848763466427,2.4803845855648463,2.29906813420444,6.150841986497227,,3.09215597462815,2.0974474282531395,3.350373113550193,4.965452072642964,3.2854658291155183
San Antonio,KSAT,1.1952286093343936,1.3185489860340538,1.439245834257849,1.4038213154508963,0.9357960705807048,0.9743129447388627,1.150776135608362,1.227366518782622,1.1338934190276817,2.453277690880394,1.2817398889233114,1.271669319101022,1.6896745248715805,1.6390328158485952,1.5962008466534352,1.4451890632617683
San Diego,KSAN,1.6690459207925603,6.141835463209907,1.9086270308410553,7.600328940249891,8.011554156341953,1.82502446167559,6.694293945486066,6.056932273967455,1.4880476182856899,1.3716517675520177,1.535298947157477,1.367479433117734,1.7503060956791028,3.04642647797617,1.63095064303001,1.6466416038192921
San Francisco,KSFO,5.0709255283711,10.052469490485551,5.4707011825333165,7.036435786065883,6.089628184755735,6.247513791215555,4.114694920126436,4.131153419013696,1.558387444947959,1.2041594578792298,1.9639610121239315,1.4247806848775015,1.1655777230933282,2.019370481822774,1.635979392116102,1.0219029867290315
Seattle,KSEA,2.29906813420444,4.197448204394122,2.5634797778466227,3.1095475095720455,2.5896773102895594,1.6131158845981457,2.1681130703250413,2.678085670239631,1.5118578920369088,1.9477092772206615,1.9086270308410553,1.8425525772688285,1.8662414481671827,1.3041143683413228,2.4954243841765384,4.278434293056282
St Louis,KSTL,3.5050983275386565,4.724933861970981,3.946064947695181,4.242640687119284,2.443504509043167,3.05403714076022,2.153568467185834,3.86818525187938,2.220038609702865,1.9872809852372946,2.4053511772118195,1.9793577601982777,2.111025478630841,1.9491756499314565,2.138924963620745,3.724244889907214
Tampa,KTPA,2.9640705601780613,3.034092003501916,2.878491668515698,2.5253005478839277,2.780544653737568,3.2305461723102757,2.7587523059735335,3.746903483449462,2.5071326821120348,5.443738211402684,2.3754698783308417,2.001428061588596,1.9285449733635243,1.893598237671943,2.2701478869385188,3.5709142486803813
