year_frac,aod_global,aod_nh,aod_sh
2022.958333,0.158451,0.159382,0.157766
2023.041667,0.163569,0.171445,0.157779
2023.125000,0.183002,0.210845,0.161910
2023.208333,0.169208,0.210612,0.136275
2023.291667,0.175135,0.239130,0.119697
2023.375000,0.174882,0.235784,0.112098
2023.458333,0.177968,0.240273,0.106892
2023.541667,0.193678,0.256949,0.123445
2023.625000,0.186388,0.223142,0.147302
2023.708333,0.175595,0.181751,0.169275
2023.791667,0.160949,0.154791,0.166733
2023.875000,0.151924,0.146653,0.156231
2023.958333,0.147468,0.153430,0.143001
2024.041667,0.154209,0.169560,0.142819
2024.125000,0.161896,0.193121,0.138060
2024.208333,0.162243,0.214650,0.120251
2024.291667,0.161987,0.223581,0.107069
2024.375000,0.163143,0.216660,0.106606
2024.458333,0.167236,0.217625,0.109366
2024.541667,0.200687,0.267862,0.124869
2024.625000,0.197263,0.218895,0.174080
2024.708333,0.185841,0.161724,0.210718
2024.791667,0.157123,0.147678,0.165978
2024.875000,0.149052,0.148878,0.149196
2024.958333,0.153854,0.163157,0.146885
2025.041667,0.147640,0.164641,0.134914
2025.125000,0.156705,0.186534,0.133868
2025.208333,0.154604,0.197456,0.119756
2025.291667,0.151873,0.207125,0.101397
2025.375000,0.156156,0.211346,0.095589
2025.458333,0.178381,0.243358,0.098983
2025.541667,0.168154,0.222467,0.103342
2025.625000,0.160578,0.196109,0.121082
2025.708333,0.150877,0.151611,0.150110
2025.791667,0.135016,0.135143,0.134899
2025.875000,0.127979,0.137700,0.120061
2025.958333,0.129183,0.141877,0.120104
2026.041667,0.144059,0.163785,0.129704
2026.125000,0.143749,0.181941,0.114332
2026.208333,0.141648,0.186335,0.105278
2026.291667,0.135550,0.190224,0.083172
