year_frac,tsi,tsi_unc
1912.0417,1361.1550,0.0961
1912.1250,1361.1436,0.0959
1912.2083,1361.1549,0.0971
1912.2917,1361.1743,0.0978
1912.3750,1361.2037,0.0977
1912.4583,1361.1761,0.0978
1912.5417,1361.1900,0.0972
1912.6250,1361.1609,0.0964
1912.7083,1361.2040,0.0983
1912.7917,1361.2008,0.0984
1912.8750,1361.1924,0.0972
1912.9583,1361.1619,0.0980
1913.0417,1361.1790,0.0970
1913.1250,1361.1737,0.0970
1913.2083,1361.1536,0.0962
1913.2917,1361.1453,0.0961
1913.3750,1361.1384,0.0959
1913.4583,1361.1330,0.0958
1913.5417,1361.1464,0.0962
1913.6250,1361.1478,0.0962
1913.7083,1361.1542,0.0964
1913.7917,1361.1674,0.0968
1913.8750,1361.1643,0.0964
1913.9583,1361.1733,0.0967
1914.0417,1361.2014,0.0970
1914.1250,1361.1915,0.0967
1914.2083,1361.1907,0.0965
1914.2917,1361.1870,0.1022
1914.3750,1361.2766,0.0989
1914.4583,1361.2355,0.1004
1914.5417,1361.2407,0.0975
1914.6250,1361.1311,0.1001
1914.7083,1361.1777,0.1021
1914.7917,1361.3063,0.0989
1914.8750,1361.3370,0.1026
1914.9583,1361.3930,0.1075
1915.0417,1361.4298,0.1089
1915.1250,1361.4530,0.1213
1915.2083,1361.6492,0.1199
1915.2917,1361.4757,0.1370
1915.3750,1361.6310,0.1245
1915.4583,1361.5856,0.1487
1915.5417,1361.6578,0.1603
1915.6250,1361.9187,0.1563
1915.7083,1361.8031,0.1402
1915.7917,1361.7172,0.1322
1915.8750,1361.7368,0.1220
1915.9583,1361.6825,0.1177
1916.0417,1361.6960,0.1265
1916.1250,1361.7098,0.1343
1916.2083,1361.7730,0.1478
1916.2917,1361.9955,0.1489
1916.3750,1361.8237,0.1603
1916.4583,1361.7640,0.1553
1916.5417,1361.8596,0.1355
1916.6250,1361.7766,0.1214
1916.7083,1361.7048,0.1222
1916.7917,1361.6064,0.1325
1916.8750,1361.9031,0.1390
